chapter_1915,C01-S01,C01-S02,C02-S01,C02-S02,C03-S01,C03-S02,C03-S03,C03-S04,C04-S01,C04-S02,C04-S03,C05-S01,C05-S02,C05-S03,C05-S04,C05-S05,C05-S06,C05-S07,C06-S01,C06-S02,C06-S03,C06-S04,C06-S05,C06-S06,C06-S07
C10,0.058823529411764705,0.05405405405405406,0.06896551724137931,0.023809523809523808,0.03278688524590164,0.022727272727272728,0.07894736842105263,0.07692307692307693,0.07142857142857142,0.05660377358490566,0.05263157894736842,0.045454545454545456,0.03278688524590164,0.09090909090909091,0.045454545454545456,0.027777777777777776,0.04838709677419355,0.05,0.04878048780487805,0.029411764705882353,0.045454545454545456,0.038461538461538464,0.05063291139240506,0.046511627906976744,0.037037037037037035
C11,0.05,0.058823529411764705,0.03076923076923077,0.027210884353741496,0.008403361344537815,0.034482758620689655,0.038461538461538464,0.04819277108433735,0.034482758620689655,0.047619047619047616,0.05555555555555555,0.024793388429752067,0.02127659574468085,0.030612244897959183,0.043478260869565216,0.022222222222222223,0.035398230088495575,0.05172413793103448,0.058823529411764705,0.03296703296703297,0.028169014084507043,0.05555555555555555,0.04285714285714286,0.07692307692307693,0.06060606060606061
C12,0.05,0.05319148936170213,0.03278688524590164,0.04716981132075472,0.017391304347826087,0.030612244897959183,0.06349206349206349,0.06,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.04938271604938271,0.03389830508474576,0.037037037037037035,0.05128205128205128,0.03333333333333333,0.0707070707070707,0.0684931506849315,0.04,0.043478260869565216,0.05194805194805195,0.0425531914893617,0.04807692307692308,0.0975609756097561,0.04597701149425287
C13,0.06329113924050633,0.06756756756756757,0.028985507246376812,0.038461538461538464,0.028985507246376812,0.030303030303030304,0.06896551724137931,0.1,0.07407407407407407,0.0425531914893617,0.07142857142857142,0.05555555555555555,0.045871559633027525,0.03333333333333333,0.05,0.05042016806722689,0.04918032786885246,0.08045977011494253,0.0625,0.05,0.0392156862745098,0.0390625,0.04477611940298507,0.3076923076923077,0.06
C14,0.07407407407407407,0.06756756756756757,0.039473684210526314,0.03424657534246575,0.014084507042253521,0.03225806451612903,0.125,0.09230769230769231,0.07692307692307693,0.08,0.08333333333333333,0.057971014492753624,0.047619047619047616,0.043478260869565216,0.045454545454545456,0.023809523809523808,0.05128205128205128,0.06329113924050633,0.0625,0.0625,0.07142857142857142,0.05454545454545454,0.09302325581395349,0.25,0.041666666666666664
C15,0.028688524590163935,0.041666666666666664,0.016666666666666666,0.033707865168539325,0.016666666666666666,0.023255813953488372,0.05263157894736842,0.06896551724137931,0.025,0.03225806451612903,0.023255813953488372,0.038461538461538464,0.01809954751131222,0.024509803921568627,0.03225806451612903,0.018433179723502304,0.025,0.02702702702702703,0.0196078431372549,0.019230769230769232,0.047619047619047616,0.037037037037037035,0.038461538461538464,0.058823529411764705,0.02666666666666667
C16,0.058394160583941604,0.07627118644067797,0.034782608695652174,0.03968253968253968,0.025,0.02564102564102564,0.044444444444444446,0.08139534883720931,0.07407407407407407,0.045454545454545456,0.02702702702702703,0.034482758620689655,0.03278688524590164,0.02459016393442623,0.028169014084507043,0.02830188679245283,0.03816793893129771,0.04819277108433735,0.03076923076923077,0.033707865168539325,0.03546099290780142,0.05813953488372093,0.04411764705882353,0.09090909090909091,0.039603960396039604
C17,0.05714285714285714,0.05660377358490566,0.03333333333333333,0.03418803418803419,0.016666666666666666,0.030612244897959183,0.05405405405405406,0.04878048780487805,0.03614457831325301,0.043478260869565216,0.0821917808219178,0.031746031746031744,0.02877697841726619,0.02,0.031914893617021274,0.04,0.047058823529411764,0.028901734104046242,0.02564102564102564,0.034482758620689655,0.041666666666666664,0.027522935779816515,0.040983606557377046,0.05172413793103448,0.05660377358490566
C18,0.05660377358490566,0.04411764705882353,0.03636363636363636,0.03529411764705882,0.008403361344537815,0.02830188679245283,0.03773584905660377,0.04081632653061224,0.040229885057471264,0.04524886877828054,0.04046242774566474,0.0392156862745098,0.041666666666666664,0.024390243902439025,0.023255813953488372,0.029197080291970802,0.037037037037037035,0.03508771929824561,0.02631578947368421,0.034482758620689655,0.031746031746031744,0.04950495049504951,0.03870967741935484,0.07407407407407407,0.037037037037037035
C19,0.06666666666666667,0.05405405405405406,0.047619047619047616,0.04132231404958678,0.02531645569620253,0.02127659574468085,0.06666666666666667,0.06666666666666667,0.03125,0.058823529411764705,0.03225806451612903,0.038461538461538464,0.030303030303030304,0.020202020202020204,0.07142857142857142,0.024390243902439025,0.0449438202247191,0.04,0.02702702702702703,0.0297029702970297,0.047619047619047616,0.03125,0.03125,0.058823529411764705,0.03225806451612903
C20,0.05263157894736842,0.04790419161676647,0.032,0.029411764705882353,0.02666666666666667,0.022556390977443608,0.047619047619047616,0.053763440860215055,0.03669724770642202,0.05286343612334802,0.031746031746031744,0.037037037037037035,0.025974025974025976,0.02631578947368421,0.029411764705882353,0.017857142857142856,0.04477611940298507,0.05357142857142857,0.029850746268656716,0.022388059701492536,0.05434782608695652,0.02962962962962963,0.043010752688172046,0.06542056074766354,0.04081632653061224
C21,0.08108108108108109,0.25,0.05,0.03896103896103896,0.020833333333333332,0.03225806451612903,0.125,0.0851063829787234,0.07692307692307693,0.08,0.08333333333333333,0.06451612903225806,0.04065040650406504,0.03636363636363636,0.038461538461538464,0.034782608695652174,0.057692307692307696,0.06930693069306931,0.056338028169014086,0.1,0.06428571428571428,0.075,0.05172413793103448,0.14285714285714285,0.05825242718446602
C22,0.04938271604938271,0.056074766355140186,0.02654867256637168,0.04040404040404041,0.025,0.03389830508474576,0.05128205128205128,0.07142857142857142,0.043478260869565216,0.038834951456310676,0.035211267605633804,0.036585365853658534,0.03361344537815126,0.021052631578947368,0.047619047619047616,0.029411764705882353,0.044642857142857144,0.05102040816326531,0.04081632653061224,0.03571428571428571,0.043478260869565216,0.07692307692307693,0.05555555555555555,0.14285714285714285,0.038461538461538464
C23,0.059602649006622516,0.0546875,0.046875,0.043859649122807015,0.039473684210526314,0.028985507246376812,0.07547169811320754,0.05454545454545454,0.041666666666666664,0.04054054054054054,0.042735042735042736,0.037037037037037035,0.03529411764705882,0.022222222222222223,0.047619047619047616,0.02702702702702703,0.04918032786885246,0.047619047619047616,0.02666666666666667,0.031914893617021274,0.033783783783783786,0.04838709677419355,0.04,0.1111111111111111,0.045454545454545456
C24,0.04918032786885246,0.04,0.02027027027027027,0.03614457831325301,0.007317073170731708,0.02702702702702703,0.031746031746031744,0.08695652173913043,0.02857142857142857,0.03571428571428571,0.043478260869565216,0.033482142857142856,0.02666666666666667,0.010526315789473684,0.03125,0.028169014084507043,0.03184713375796178,0.03508771929824561,0.047619047619047616,0.03355704697986577,0.03333333333333333,0.039603960396039604,0.043478260869565216,0.03125,0.02877697841726619
C25,0.04504504504504504,0.04950495049504951,0.047619047619047616,0.03773584905660377,0.025974025974025976,0.02247191011235955,0.05555555555555555,0.06796116504854369,0.0392156862745098,0.04526748971193416,0.043478260869565216,0.03896103896103896,0.03614457831325301,0.02702702702702703,0.05555555555555555,0.023809523809523808,0.03225806451612903,0.03636363636363636,0.03355704697986577,0.03529411764705882,0.0273972602739726,0.04838709677419355,0.05128205128205128,0.06976744186046512,0.045454545454545456
