tonggwon	publish_date	section	title	pen	page	series	status
111	1919-11-15	敎門訂議	十月二十八日大祈禱	李敦化	2	54	코퍼스
111	1919-11-15	敎理部	略史及敎理	白頭山人	12	146	코퍼스
111	1919-11-15	敎理部	活動主義의 道德	滄海居士	15	147	코퍼스
111	1919-11-15	敎理部	新信仰	夜雷	19	108	코퍼스
112	1919-12-15	敎門訂議	改造와 宗敎	李敦化	4	55	코퍼스
112	1919-12-15	敎理部	略史及敎理	白頭山人	17	148	코퍼스
112	1919-12-15	敎理部	萬事知	夜雷	20	109	코퍼스
112	1919-12-15	敎理部	理想의 力	滄海居士	24	149	코퍼스
113	1920-01-15	敎門訂議	天道敎六十一歲花甲庚申을 迎喜	李敦化	7	56	코퍼스
113	1920-01-15	敎理部	略史及敎理	白頭山人	23	150	코퍼스
113	1920-01-15	敎理部	宇宙의 中心	夜雷	27	110	코퍼스
113	1920-01-15	讀者文壇	涙	滄海居士	71	151	코퍼스
114	1920-02-15	敎門訂議	天道敎靑年臨時敎理講習會에 就하야	李敦化	1	57	코퍼스
114	1920-02-15	敎理部	眞의 人生	夜雷	15	111	코퍼스
114	1920-02-15	敎理部	大神師이 法言이 時代의 預言的으로 되야음	滄海居士	27	152	코퍼스
115	1920-03-15	敎門訂議	現代思潮와 事人如天主義	李敦化	1	83	코퍼스
115	1920-03-15	敎理部	略史及敎理	白頭山人	20	153	코퍼스
115	1920-03-15	敎理部	經傳의 硏究	夜雷	23	112	코퍼스
116	1920-04-15		庚申四月五日	李敦化	3	58	코퍼스
116	1920-04-15		混沌으로 나와 混沌에 도라가는 人生	夜雷	38	113	코퍼스
117	1920-05-15	敎門訂議	哲人主義의 將來와 新宗敎의 價値	李敦化	8	59	코퍼스
117	1920-05-15	講演	水陸三千里	夜雷	80	114	코퍼스
118	1920-06-15		自己解放과 人乃天主義	李敦化	1	60	코퍼스
118	1920-06-15		朝鮮에 特有한 宗敎思想을 論함	夜雷	38	115	코퍼스
119	1920-07-15		自己解放과 人乃天主義(續)	李敦化	1	61	코퍼스
120	1920-08-15		十週年	李敦化	1	62	코퍼스
120	1920-08-15		本報의 三界	夜雷	39	116	코퍼스
120	1920-08-15		遺詞中으로 觀한 大神師의 法訓	白頭山人	56	154	코퍼스
121	1920-09-15		오로지 法門에 依信하라	李敦化	1	63	코퍼스
121	1920-09-15		呪文의 哲學的 意義	夜雷	18	117	코퍼스
121	1920-09-15		問者의게 答함	滄海居士	36	155	코퍼스
122	1920-10-15		布德天下는 活誠에 在하니라	李敦化	7	64	코퍼스
123	1920-11-15		拘束의 宗敎로부터 自由의 宗敎	李敦化	1	65	코퍼스
123	1920-11-15		實在論으로 觀한 人乃天主義	夜雷	31	118	코퍼스
124	1920-12-15		年齡論	李敦化	22	84	코퍼스
126	1921-02-15		布德天下	李敦化	1	66	코퍼스
127	1921-03-15		同歸一體	李敦化	1	67	코퍼스
128	1921-04-15		사람性의 無窮을 論하노라	李敦化	1	85	코퍼스
128	1921-04-15		質疑者에게 答함	夜雷	53	119	코퍼스
130	1921-06-15		사람性의 無窮을 論하노라(續)	李敦化	1	68	코퍼스
131	1921-07-15		新文化는 무엇에 依하야 建設되랴	李敦化	1	69	코퍼스
131	1921-07-15		質疑者의게 答함	夜雷	58	120	코퍼스
132	1921-08-15		萬事知는 即實行	李敦化	1		미확보
134	1921-10-15		天道敎의 新道德觀(落張)	李敦化	7		미확보
135	1921-11-15		우리時代의 創造事業, 目下의 急先務를 提案함	李敦化	9	86	코퍼스
136	1921-12-15		中國 北京의 傳敎室 問題를 둣고 吾敎의 對外 發展을 賀함	李敦化	12	70	코퍼스
136	1921-12-15		年齡上 問題	白頭山人	73	156	코퍼스
137	1922-01-15		新紀元을 劃한 우리敎의 新面目	李敦化	10	71	코퍼스
138	1922-02-15		進化의 側面으로 본 人乃天	李敦化	8	72	코퍼스
139	1922-03-15		信仰 觀念의 本體	李敦化	8	73	코퍼스
140	1922-04-15		信仰 觀念의 本體(續)	李敦化	15	74	코퍼스
141	1922-05-15		宗教의 六大 要素	李敦化	10	75	코퍼스
