series,slug,publish_date,tonggwon,section,title,author,page_in_journal,scan_pages,units,transcript,markers,규칙,대장,C,G,미해소,면주,auto_ratio,big_diff_ratio,gemini_empty_units,claude_empty_units,cross_checked,keyword_hits,reading_file
59,59_哲人_1920-05,1920-05-15,117,敎門訂議,哲人主義의 將來와 新宗敎의 價値,李敦化,8,5,5,초벌,178,5,4,117,15,19,18,5.1,10.7,2,0,0,28,59_哲人_1920-05.reading.미검수.md
60,60_自己_1920-06,1920-06-15,118,,自己解放과 人乃天主義,李敦化,1,8,8,초벌,77,1,1,21,4,50,0,2.6,64.9,0,0,0,24,60_自己_1920-06.reading.미검수.md
61,61_自己_1920-07,1920-07-15,119,,自己解放과 人乃天主義(續),李敦化,1,5,5,초벌,409,97,19,235,36,22,0,28.4,5.4,0,0,2,17,61_自己_1920-07.reading.미검수.md
62,62_十週_1920-08,1920-08-15,120,,十週年,李敦化,1,9,9,초벌,334,68,30,191,25,20,0,29.3,6.0,1,0,0,17,62_十週_1920-08.reading.미검수.md
63,63_法門_1920-09,1920-09-15,121,,오로지 法門에 依信하라,李敦化,1,8,8,초벌,340,101,30,190,15,4,0,38.5,1.2,0,0,0,4,63_法門_1920-09.reading.미검수.md
64,64_布德_1920-10,1920-10-15,122,,布德天下는 活誠에 在하니라,李敦化,7,5,5,초벌,210,4,17,130,16,43,0,10.0,20.5,0,0,0,8,64_布德_1920-10.reading.미검수.md
65,65_拘束_1920-11,1920-11-15,123,,拘束의 宗敎로부터 自由의 宗敎,李敦化,1,8,8,초벌,332,91,16,203,13,9,0,32.2,2.7,0,0,0,69,65_拘束_1920-11.reading.미검수.md
66,66_布德_1921-02,1921-02-15,126,,布德天下,李敦化,1,8,8,초벌,283,36,15,200,21,11,0,18.0,3.9,0,0,0,2,66_布德_1921-02.reading.미검수.md
67,67_同歸_1921-03,1921-03-15,127,,同歸一體,李敦化,1,7,7,초벌,297,51,18,186,16,26,0,23.2,8.8,2,0,0,51,67_同歸_1921-03.reading.미검수.md
68,68_性無_1921-06,1921-06-15,130,,사람性의 無窮을 論하노라(續),李敦化,1,5,5,초벌,259,20,17,177,20,25,0,14.3,9.7,1,0,0,14,68_性無_1921-06.reading.미검수.md
69,69_新文_1921-07,1921-07-15,131,,新文化는 무엇에 依하야 建設되랴,李敦化,1,5,5,초벌,314,59,11,166,40,38,0,22.3,12.1,0,0,0,36,69_新文_1921-07.reading.미검수.md
70,70_中國_1921-12,1921-12-15,136,,中國 北京의 傳敎室 問題를 둣고 吾敎의 對外 發展을 賀함,李敦化,12,6,6,초벌,157,21,4,96,11,25,0,15.9,15.9,2,0,0,14,70_中國_1921-12.reading.미검수.md
71,71_新紀_1922-01,1922-01-15,137,,新紀元을 劃한 우리敎의 新面目,李敦化,10,6,6,초벌,271,32,18,189,16,16,0,18.5,5.9,1,0,0,13,71_新紀_1922-01.reading.미검수.md
72,72_進化_1922-02,1922-02-15,138,,進化의 側面으로 본 人乃天,李敦化,8,5,5,초벌,164,30,10,92,15,17,0,24.4,10.4,2,0,0,62,72_進化_1922-02.reading.미검수.md
73,73_信仰_1922-03,1922-03-15,139,,信仰 觀念의 本體,李敦化,8,8,8,초벌,325,60,16,211,15,23,0,23.4,7.1,2,0,0,22,73_信仰_1922-03.reading.미검수.md
74,74_信仰_1922-04,1922-04-15,140,,信仰 觀念의 本體(續),李敦化,15,6,6,초벌,250,76,10,139,18,7,0,34.4,2.8,3,1,0,2,74_信仰_1922-04.reading.미검수.md
75,75_宗教_1922-05,1922-05-15,141,,宗教의 六大 要素,李敦化,10,3,6,초벌,153,1,18,103,17,14,0,12.4,9.2,1,0,0,48,75_宗教_1922-05.reading.미검수.md
76,76_東經_1912-08,1912-08-15,25,敎理部,東經大全要旨講解(續),李敦化,12,3,3,초벌,101,0,21,56,17,5,2,20.8,5.0,0,0,0,0,76_東經_1912-08.reading.미검수.md
77,77_靈通1_1912-10,1912-10-15,27,敎理部,靈通力이 事實됨을 解明言,李敦化,11,8,8,초벌,211,2,57,92,25,25,10,28.0,11.8,1,0,0,33,77_靈通1_1912-10.reading.미검수.md
78,78_靈性_1913-04,1913-04-15,33,敎理部,靈性的 生活,李敦化,8,4,4,초벌,101,0,33,52,11,4,1,32.7,4.0,1,0,0,3,78_靈性_1913-04.reading.미검수.md
79,79_大神2_1918-08,1918-08-15,96,敎理部,大神師性靈出世說(其二),李敦化,14,4,4,초벌,193,3,14,128,20,28,0,8.8,14.5,0,0,0,6,79_大神2_1918-08.reading.미검수.md
80,80_大神3_1918-09,1918-09-15,97,敎理部,大神師性靈出世說(其三),李敦化,16,3,3,초벌,208,0,22,134,32,19,1,10.6,9.1,0,0,0,16,80_大神3_1918-09.reading.미검수.md
81,81_大神4_1918-10,1918-10-15,98,敎理部,大神師性靈出世說(其四),李敦化,14,4,4,초벌,238,3,32,153,29,15,6,14.7,6.3,1,0,8,16,81_大神4_1918-10.reading.미검수.md
82,82_大神5_1918-11,1918-11-15,99,敎理部,大神師性靈出世說(其五),李敦化,16,3,3,초벌,73,0,5,49,8,8,3,6.8,11.0,2,0,0,13,82_大神5_1918-11.reading.미검수.md
83,83_現代_1920-03,1920-03-15,115,敎門訂議,現代思潮와 事人如天主義,李敦化,1,7,7,초벌,202,7,13,130,15,14,23,9.9,6.9,1,0,0,12,83_現代_1920-03.reading.미검수.md
84,84_年齡_1920-12,1920-12-15,124,,年齡論,李敦化,22,7,7,초벌,533,162,30,291,18,32,0,36.0,6.0,1,0,0,2,84_年齡_1920-12.reading.미검수.md
85,85_사람性_1921-04,1921-04-15,128,,사람性의 無窮을 論하노라,李敦化,1,6,6,초벌,233,47,35,119,18,14,0,35.2,6.0,2,1,0,32,85_사람性_1921-04.reading.미검수.md
86,86_우리_1921-11,1921-11-15,135,,"우리時代의 創造事業, 目下의 急先務를 提案함",李敦化,9,6,6,초벌,183,32,13,114,10,14,0,24.6,7.7,1,0,0,15,86_우리_1921-11.reading.미검수.md
