series,tonggwon,publish_date,section,title,page_start,pages_held,last_held,next_title,next_page,gap,verdict
86,135,1921-11-15,,"우리時代의 創造事業, 目下의 急先務를 提案함",9,6,14,天道敎議正會의 第一回 開會에 際하야,15,1,다음지면필요
87,89,1917-12-15,雜俎,永久之愛妻,29,2,30,送舊小言,30,0,자력확인가능
88,90,1918-01-15,諺文部,우리ᄂᆞᆫ 무슨 필요로 도를 닥는가,4,4,7,종교ᄂᆞᆫ ᄉᆞᄅᆞᆷ의 가티,7,0,자력확인가능
89,91,1918-02-15,雜俎,枕上雜感,30,3,32,天農은 家에 準備,32,0,자력확인가능
90,92,1918-03-15,雜俎,孤灯의 下에셔,32,5,36,茶話一撮(漫墨),37,1,다음지면필요
91,93,1918-04-15,敎門訂議,因襲的主觀에 拘束된 世人의 誤解,1,7,7,四大誡命,8,1,다음지면필요
92,94,1918-05-15,雜俎,京城에셔 永興까지,43,4,46,吾人의 大市,47,1,다음지면필요
93,95,1918-07-15,敎門訂議,宗敎的修養과 處世方法(其一),1,4,4,今日宗敎家의 責任,5,1,다음지면필요
94,96,1918-08-15,敎門訂議,宗敎的修養과 處世方法(其二),6,5,10,侍天主의 哲學上要義,11,1,다음지면필요
95,97,1918-09-15,敎門訂議,迷의 信仰으로 覺의 信仰에,1,6,6,祈禱를 極盡히 할 今日,6,0,자력확인가능
96,98,1918-10-15,敎門訂議,各其所信을 反省ᄒᆞ라,8,5,12,侍天主의 哲學上要義(續),11,-1,초과
97,99,1918-11-15,敎門訂議,信仰性과 社會性,6,5,10,侍天主의 哲學上要義(續),10,0,자력확인가능
98,100,1918-12-18,敎理部,信仰性과 社會性(其二),19,5,23,歸眞의 初程,24,1,다음지면필요
99,101,1919-01-15,敎理部,信仰性과 社會性(續),13,4,16,大道의 初步(續),17,1,다음지면필요
100,102,1919-02-15,敎理部,信仰性과 社會性(其四),11,5,15,大道의 初步(續),16,1,다음지면필요
101,103,1919-03-15,敎門訂議,將來의 宗敎(續),1,8,8,信仰의 趣味와 宗敎의 世界,8,0,자력확인가능
102,104,1919-04-15,敎門訂議,默念論,1,12,12,至誠은 感天,13,1,다음지면필요
103,105,1919-05-15,敎門訂議,將來의 宗敎(其三),6,5,10,默念論(續),11,1,다음지면필요
104,106,1919-06-15,敎理部,默念論(續),15,5,19,知我者라야 知道오 知道者라야 知我,20,1,다음지면필요
105,107,1919-07-15,講演,處世神言,23,6,28,體的倫理,27,-1,초과
106,109,1919-09-15,敎理部,自力的敎化,17,4,20,爲道者 先守其心,21,1,다음지면필요
107,110,1919-10-15,讀者文壇,動物園訪問記,37,5,41,어머님씌 엿줌,42,1,다음지면필요
108,111,1919-11-15,敎理部,新信仰,19,3,21,나의 본 新宗敎,22,1,다음지면필요
109,112,1919-12-15,敎理部,萬事知,20,4,23,理想의 力,24,1,다음지면필요
110,113,1920-01-15,敎理部,宇宙의 中心,27,5,31,人의 本源에 溯흠,31,0,자력확인가능
111,114,1920-02-15,敎理部,眞의 人生,15,4,18,愛와 眞理,19,1,다음지면필요
112,115,1920-03-15,敎理部,經傳의 硏究,23,3,25,事人如天의 道德,26,1,다음지면필요
113,116,1920-04-15,,混沌으로 나와 混沌에 도라가는 人生,38,4,41,텬도교셔 번역,42,1,다음지면필요
114,117,1920-05-15,講演,水陸三千里,80,8,87,사랑하난 동성의게,87,0,자력확인가능
115,118,1920-06-15,,朝鮮에 特有한 宗敎思想을 論함,38,5,42,聽講錄의 一班,42,0,자력확인가능
116,120,1920-08-15,,本報의 三界,39,4,42,무극송,43,1,다음지면필요
117,121,1920-09-15,,呪文의 哲學的 意義,18,2,19,텬도교셔 번역,20,1,다음지면필요
118,123,1920-11-15,,實在論으로 觀한 人乃天主義,31,6,36,텬사의 본지를 도달하라,37,1,다음지면필요
119,128,1921-04-15,,質疑者에게 答함,53,8,60,나의본바-두어가지,61,1,다음지면필요
120,131,1921-07-15,,質疑者의게 答함,58,3,60,연원문답(淵源問答),61,1,다음지면필요
121,88,1917-11-15,雜俎,追僧과 活僧,24,3,26,長白府敎區建築記,26,0,자력확인가능
122,89,1917-12-15,敎理部,野花千萬枝遊客忘歸家,11,3,13,自家의 無盡藏을 發見ᄒᆞ라,13,0,자력확인가능
123,90,1918-01-15,敎理部,龍潭心法,9,4,12,布德은 吾人의 原職,12,0,자력확인가능
124,91,1918-02-15,講演,是我死生觀,16,4,19,守其心,19,0,자력확인가능
125,92,1918-03-15,敎門訂議,近ᄒᆞ야 오ᄂᆞᆫ 庚申四月,5,4,8,一行解,9,1,다음지면필요
126,93,1918-04-15,雜俎,任筆錄,42,6,47,吊敎訓李道義氏文,47,0,자력확인가능
127,94,1918-05-15,敎理部,偉大ᄒᆞᆫ 心의 世界 其二,15,5,19,性靈修鍊을 本位로 할 事,19,0,자력확인가능
128,95,1918-07-15,雜俎,任筆錄(其三),30,3,32,法律經濟(續),33,1,다음지면필요
129,97,1918-09-15,雜俎,任筆錄(其五),31,4,34,嗚呼香山君,35,1,다음지면필요
130,98,1918-10-15,雜俎,任筆錄(其六),30,5,34,牛耳洞의 晩秋(散文),34,0,자력확인가능
131,99,1918-11-15,雜俎,任筆錄(其六),37,4,40,還元一束,40,0,자력확인가능
132,100,1918-12-18,雜俎,任筆錄(其八),63,4,66,還元一束,66,0,자력확인가능
133,101,1919-01-15,雜俎,任筆錄,40,4,43,新年의 感想,43,0,자력확인가능
134,102,1919-02-15,雜俎,蓬萊山(其一),39,6,44,世界宗敎史(續),44,0,자력확인가능
135,103,1919-03-15,雜俎,蓬萊山(其二),30,6,35,吾道의 顯明과 敎堂建築의 感想,35,0,자력확인가능
136,104,1919-04-15,講演,余의 告白,31,4,34,處世三則,35,1,다음지면필요
137,104,1919-04-15,敎理部,心의 世界,16,5,20,人生,21,1,다음지면필요
138,105,1919-05-15,講演,處世神言,23,4,26,養氣法(二),29,3,지면결락2면
139,106,1919-06-15,講演,最後宗敎의 大性無量光,24,5,28,處世秘訣(其三),29,1,다음지면필요
140,106,1919-06-15,雜俎,月尾島의 春色,39,5,43,여러분ᄭᅴ 自白,44,1,다음지면필요
141,107,1919-07-15,敎理部,神人의 跡,16,7,22,處世神言,23,1,다음지면필요
142,107,1919-07-15,講演,體的倫理,27,4,30,我의 天能을 確信ᄒᆞ라,31,1,다음지면필요
143,109,1919-09-15,敎理部,略史及敎理,13,4,16,自力的敎化,17,1,다음지면필요
144,109,1919-09-15,雜俎,北遊半個月,41,3,43,滿足한 一日,44,1,다음지면필요
145,110,1919-10-15,敎理部,略史及敎理(其三),12,4,15,覺의 路와 覺의 地,16,1,다음지면필요
146,111,1919-11-15,敎理部,略史及敎理,12,3,14,活動主義의 道德,15,1,다음지면필요
147,111,1919-11-15,敎理部,活動主義의 道德,15,4,18,新信仰,19,1,다음지면필요
148,112,1919-12-15,敎理部,略史及敎理,17,3,19,萬事知,20,1,다음지면필요
149,112,1919-12-15,敎理部,理想의 力,24,3,26,此世의 將來와 宗敎,27,1,다음지면필요
150,113,1920-01-15,敎理部,略史及敎理,23,3,25,大神師性靈出世之日,26,1,다음지면필요
151,113,1920-01-15,讀者文壇,涙,71,3,73,旅行記로써 天父님께,73,0,자력확인가능
152,114,1920-02-15,敎理部,大神師이 法言이 時代의 預言的으로 되야음,27,3,29,吾敎의 新思想과 新活動,30,1,다음지면필요
153,115,1920-03-15,敎理部,略史及敎理,20,3,22,經傳의 硏究,23,1,다음지면필요
154,120,1920-08-15,,遺詞中으로 觀한 大神師의 法訓,56,3,58,福은 自誠으로 買하라,58,0,자력확인가능
155,121,1920-09-15,,問者의게 答함,36,2,37,부인여러분께 올림,38,1,다음지면필요
156,136,1921-12-15,,年齡上 問題,73,8,80,天道敎 成川大敎區聖化室記,81,1,다음지면필요
157,105,1919-05-15,雜俎,蓬萊山,38,3,40,人生은 希望的이야,44,4,지면결락3면
158,36,1913-07-15,講演,我觀苦樂論,19,2,20,兩無相值萬有生,24,4,지면결락3면
