term,series,date,title,journal_page,unit,col,char_pos,engine_agreement,context_left,match,context_right,grade,verified
人乃天,53,1919-10-15,今日以後의 宗敎,6,unit_5_p5,13,108,both,야人心의領地를支配ᄒᆞᆫ다ᄒᆞ면,人乃天,主義ᄂᆞᆫ强制的으로됨도아니오今,합의,
人乃天,54,1919-11-15,十月二十八日大祈禱,4,unit_3_p3,,809,gemini_only,吾人의精神과融合ᄒᆞ야無言不文의,人乃天,的神話를今에도오히려敎化ᄒᆞ시리,G단독,
人乃天,54,1919-11-15,十月二十八日大祈禱,4,unit_3_p3,36,14,both,의精神과融合ᄒᆞ야無言不文의,人乃天,的神話를今에도,합의,
人乃天,55,1919-12-15,改造와 宗敎,4,unit_1_p1,21,4,both,靈長이된,人乃天,의原理에到達ᄒᆞ에至ᄒᆞ엿도다,합의,
人乃天,55,1919-12-15,改造와 宗敎,8,unit_5_p5,04,93,both,者ㅣ안이오直接神의表顯이卽人이오,人乃天,的眞理下에서各種의風化ㅣ各種의倫,합의,
人乃天,149,1919-12-15,理想의 力,26,unit_6_p3l,14,16,both,故로吾人의理想은直接으로論ᄒᆞ면,人乃天,이니人이直,합의,
人乃天,57,1920-02-15,天道敎靑年臨時敎理講習會에 就하야,6,unit_6_p6,06,19,both,시져로徵타말라諸君의背後에ᄂᆞᆫ,人乃天,이有ᄒᆞ야諸君의事業으로ᄒᆞ야곰,합의,
人乃天,111,1920-02-15,眞의 人生,17,unit_6_p3l,19,6,both,一面으로보면,人乃天,이라云ᄒᆞ는것이라그리ᄒᆞ야其實,합의,
人乃天,152,1920-02-15,大神師이 法言이 時代의 預言的으로 되야음,28,unit_4_p2l,11,0,both,,人乃天,主義의道德은만가지일이도모지自己,합의,
人乃天,83,1920-03-15,現代思潮와 事人如天主義,,unit_4_p4,10,10,both,努力하는中이니이를吾,人乃天,主義라하노라萬若一切의人類가人이,합의,
人乃天,83,1920-03-15,現代思潮와 事人如天主義,,unit_5_p5,06,1,both,은,人乃天,이되며其의方針은事人如天이될지댄,합의,
人乃天,83,1920-03-15,現代思潮와 事人如天主義,,unit_5_p5,17,4,both,이를萬一,人乃天,의大經에對照ᄒᆞ고보면뉘ㅣ一嘆이,합의,
人乃天,83,1920-03-15,現代思潮와 事人如天主義,,unit_6_p6,03,231,both,會에實行코저함은안이오吾人은다못,人乃天,主義下에서個人의人格을어대선지尊,합의,
人乃天,83,1920-03-15,現代思潮와 事人如天主義,,unit_6_p6,05,76,both,의所有物로取扱케되엿다이것은實로,人乃天,의背道로붓허出한過去道德의弊害이,합의,
人乃天,83,1920-03-15,現代思潮와 事人如天主義,,unit_7_p7,13,14,both,全般世界的社會問題를擧ᄒᆞ야,人乃天,主義에理想ᄒᆞ고事人如天主義에實,합의,
人乃天,112,1920-03-15,經傳의 硏究,23,unit_2_p1l,,358,gemini_only,는바이로다爲先大全을노코其中에서,人乃天,의意義를알아보기로ᄒᆞ자大傳四篇,G단독,
人乃天,112,1920-03-15,經傳의 硏究,23,unit_2_p1l,07,19,both,이더냐ᄒᆞ면나는얼는對答ᄒᆞ기를,人乃天,석字에大精神,합의,
人乃天,112,1920-03-15,經傳의 硏究,23,unit_2_p1l,08,25,both,리라元來ㅣ大全이나歌詞의經傳中에,人乃天,,합의,
人乃天,112,1920-03-15,經傳의 硏究,23,unit_2_p1l,10,3,both,고直히,人乃天,이라말ᄒᆞᆯ슈업시된것이라ᄯᅡ라,합의,
人乃天,112,1920-03-15,經傳의 硏究,23,unit_2_p1l,11,9,both,中ㅣ節句々々를따라,人乃天,를찻고져ᄒᆞ면五里霧中,합의,
